Geographic;City;share_white;share_black;share_native_american;share_asian;share_hispanic
CA;Kingvale CDP;94.4;0.7;0.7;0;4.2
WV;Kingwood city;97.3;0.9;0.1;0.5;0.5
MO;Kinloch city;3.4;94.6;0.3;0.7;0
IL;Kinmundy city;99.4;0;0;0.3;1.1
NJ;Kinnelon borough;93.1;0.9;0;4.3;4.1
MN;Kinney city;97.6;0;1.2;0;0
AZ;Kino Springs CDP;86;2.2;0;0;62.5
IA;Kinross city;100;0;0;0;0
AL;Kinsey town;49.9;46;0.3;0.1;4
KS;Kinsley city;93.1;0.8;0.3;0.8;14.7
OH;Kinsman Center CDP;99.2;0.2;0.3;0;0.3
IL;Kinsman village;100;0;0;0;2
NC;Kinston city;28.7;68;0.2;0.7;2.4
AL;Kinston town;95.6;0.2;2;0.6;0.9
OK;Kinta town;82.2;0;11.1;0;0.7
KS;Kiowa city;95.3;0.2;1.2;0.2;4.1
CO;Kiowa town;92.8;1.5;0.3;1.4;7.9
OK;Kiowa town;77;0.3;14.5;0;3.6
AK;Kipnuk CDP;2;0;97.7;0;0
KS;Kipp CDP;100;0;0;0;0
OH;Kipton village;97.1;0;0;0;2.5
AR;Kirby CDP;96.9;0.1;0.1;0;0.8
TX;Kirby city;63.1;14.6;1.1;1.6;52.6
WY;Kirby town;95.7;0;0;0;4.3
OH;Kirby village;99.2;0;0;0;0
TX;Kirbyville city;73.1;19.5;1;0.7;7.7
MO;Kirbyville village;88.4;0.5;0;2.4;6.8
CO;Kirk CDP;93.2;0;5.1;0;1.7
OH;Kirkersville village;94.5;2.9;0.2;1.1;0.6
WA;Kirkland city;79.3;1.8;0.4;11.3;6.3
IL;Kirkland village;95;0.5;0.4;0.7;7.7
IN;Kirklin town;98.5;0.1;0;0.1;1.3
IA;Kirkman city;96.9;0;0;0;3.1
OR;Kirkpatrick CDP;46.4;0;45.3;0.6;1.1
MO;Kirksville city;92.3;2.2;0.2;2.4;2.7
IA;Kirkville city;97.6;0;0.6;0;1.8
CA;Kirkwood CDP;96.8;0;2.5;0.6;3.8
PA;Kirkwood CDP;98.2;0;0.3;0;4.3
MO;Kirkwood city;89.4;7;0.1;1.4;1.8
IL;Kirkwood village;97.3;0.3;0;0.6;1.8
IA;Kiron city;91.4;0;0;0;16.1
NM;Kirtland CDP;38.6;0.4;52.1;0.3;11.3
OH;Kirtland city;97.7;0.4;0.1;0.7;1.1
OH;Kirtland Hills village;96.7;0;0;1.7;2.8
TX;Kirvin town;94.6;5.4;0;0;0
KS;Kirwin city;92.4;0.6;4.1;0;2.9
NY;Kiryas Joel village;99.2;0.1;0;0.1;1.3
PA;Kiskimere CDP;87.5;11;0;0;0
KS;Kismet city;86.1;0.7;1.5;0.4;35.5
MO;Kissee Mills CDP;97.1;0.1;0.6;0;1.1
FL;Kissimmee city;66.1;12.4;0.6;3.4;58.9
PA;Kistler borough;94.1;2.2;0.6;0.3;4.1
WV;Kistler CDP;93;5.5;0;0;0.6
CO;Kit Carson town;83.7;3;1.7;0.9;18
GA;Kite city;94.2;4.1;0.8;0.4;7.1
PA;Kittanning borough;97;0.9;0.1;0.4;0.9
ME;Kittery CDP;94.7;1.2;0.2;0.9;4.1
ME;Kittery Point CDP;98.7;0.1;0.2;0.6;0.9
WA;Kittitas city;86.7;0.6;0.9;0.3;13.1
CO;Kittredge CDP;95.6;0.5;0.7;0.7;3.8
NC;Kittrell town;30.2;66.8;0;0.2;1.9
NC;Kitty Hawk town;96.3;1.1;0.2;0.8;2.9
MD;Kitzmiller town;99.1;0;0.3;0;0.3
AK;Kivalina city;2.1;0;96.3;0;0
AZ;Klagetoh CDP;0;0;96.3;1.2;0.8
WA;Klahanie CDP;68.9;1.3;0.2;23.9;5.2
CA;Klamath CDP;48.7;0.1;41.7;0.4;11.6
OR;Klamath Falls city;83.4;1;4.3;1.6;11.8
AK;Klawock city;38.4;0.3;48.3;0.5;2.8
MT;Klein CDP;99.4;0;0.6;0;0
IA;Klemme city;98.6;0.4;0;0.2;0.4
WA;Klickitat CDP;91.7;0.6;3.6;0;3
SC;Kline town;49.7;44.7;0;0;9.1
PA;Klingerstown CDP;98.4;0;0;0;0
MD;Klondike CDP;98.3;0;0;1.7;0
AK;Klukwan CDP;8.4;0;80;1.1;2.1
WI;Knapp village;97.8;0;1.1;0;0.2
IA;Knierim city;96.7;0;0;0;5
MT;Knife River CDP;89.7;0;5;0.6;0
NC;Knightdale town;50;38.3;0.6;1.7;11.4
CA;Knights Landing CDP;56.3;0.4;1;0.7;64.7
CA;Knightsen CDP;80.9;0.9;0.5;1.8;29
IN;Knightstown town;98;0.1;0.1;0.1;0.6
IN;Knightsville town;96.6;1.3;0.2;0.2;0.7
AK;Knik River CDP;88.4;1.3;3.8;1.2;3.1
AK;Knik-Fairview CDP;84.3;1;5.3;1.4;4.1
TX;Knippa CDP;80;0.1;0.7;0;61
MO;Knob Noster city;80;9.1;0.6;3.1;6.8
AR;Knobel city;98.3;0;0.3;0;0.7
IL;Knollwood CDP;85.5;4.2;0;4.8;6.4
TX;Knollwood city;87.2;4.4;1.3;0.4;6.2
OK;Knowles town;90.9;0;9.1;0;9.1
WI;Knowlton CDP;99.2;0;0;0;0.8
PA;Knox borough;98.2;0.4;0.1;0.7;0.5
IN;Knox city;96.3;0.4;0.2;0.3;2.9
ND;Knox city;100;0;0;0;0
MO;Knox City city;98.1;0;0;0;0
TX;Knox City town;73.5;6.7;0.4;0.2;30.4
PA;Knoxville borough;98.7;0;0;0.2;0
GA;Knoxville CDP;69.6;23.2;0;0;5.8
IL;Knoxville city;98;0.3;0.2;0.3;1
IA;Knoxville city;96.9;1.1;0.3;0.5;1.9
TN;Knoxville city;76.1;17.1;0.4;1.6;4.6
AR;Knoxville town;94.1;0.7;1.8;0.4;3.7
HI;Ko Olina CDP;69.6;3.5;0.3;13;7.7
AZ;Ko Vaya CDP;10.9;0;84.8;0;10.9
AK;Kobuk city;8.6;0;90.1;0.7;2.6
AK;Kodiak city;40.3;0.5;9.9;37.4;9.4
AK;Kodiak Station CDP;85.9;2.6;0.8;1.3;9.8
AZ;Kohatk CDP;0;0;92.6;0;7.4
WI;Kohler village;96;0.2;0;2.5;2.3
AZ;Kohls Ranch CDP;93.5;4.3;0;0;2.2
AK;Kokhanok CDP;9.4;0;80;0;1.8
IN;Kokomo city;83.5;10.7;0.4;1;3.3
AK;Koliganek CDP;3.3;0;95.7;0;0
HI;Koloa CDP;23;0.5;0.6;39;11.6
AZ;Komatke CDP;0.9;0.2;92.4;0.1;18.6
OK;Konawa city;65;2.4;21.8;0.2;1.5
AK;Kongiganak CDP;2.1;0;95.7;0;1.8
MD;Konterra CDP;29.8;50;0.8;12;11.2
IN;Koontz Lake CDP;97.2;0.1;0.1;0.1;2.2
UT;Koosharem town;91.1;1.5;0.3;0.3;10.1
ID;Kooskia city;90;0;4.9;0.5;2.1
ID;Kootenai city;95.9;0;0.3;0.4;4.3
PA;Koppel borough;96.1;2.1;0;0.3;1.7
WV;Kopperston CDP;97.7;0;0;1;0.6
MS;Kosciusko city;45.6;51.9;0.3;0.5;2.1
MO;Koshkonong town;91.5;0.5;1.4;0;1.4
TX;Kosse town;83.8;10.8;0.4;0.4;8.8
MS;Kossuth village;100;0;0;0;0
AK;Kotlik city;1.9;0;97.2;0.3;0.2
AK;Kotzebue city;16;0.9;73.6;1.2;1.3
TX;Kountze city;72.4;23.1;0.2;0.8;5
IN;Kouts town;97.6;0.3;0.3;0.6;5.1
AK;Koyuk city;3.6;0;88.9;0.3;0
AK;Koyukuk city;1;0;96.9;0;0
LA;Kraemer CDP;97.8;0.6;0.6;0;1.8
WI;Krakow CDP;96.3;0;0.8;0.6;0
ND;Kramer city;100;0;0;0;0
SD;Kranzburg town;99.4;0;0;0;0.6
PA;Kratzerville CDP;98.7;0.3;0;0;0.3
PA;Kreamer CDP;98.3;0.7;0.2;0;0
OK;Krebs city;72.8;1.9;12.9;0.3;4.6
MT;Kremlin CDP;98;0;2;0;0
OK;Kremlin town;92.2;1.6;1.2;0.4;2
CO;Kremmling town;92.6;0.3;0.3;0.3;11.9
TX;Kress city;68.5;4.6;1;0.1;61.7
WI;Kronenwetter village;94.5;0.3;0.3;3.7;1.4
LA;Krotz Springs town;98.7;0.2;0.3;0.4;1.5
TX;Krugerville city;95.3;0.5;1.1;0.5;8.7
TX;Krum city;91.2;1.7;0.6;1;12.9
WA;Krupp town;100;0;0;0;2.1
HI;Kualapuu CDP;8.4;0.3;0;13.8;6.5
HI;Kukuihaele CDP;31.8;0;0.6;14;8.3
HI;Kula CDP;56.3;0.5;0.4;16.3;7.8
ND;Kulm city;97.7;0;0.3;0;4.5
PA;Kulpmont borough;97.5;0.4;0;0.5;1.4
PA;Kulpsville CDP;84.9;4.6;0.1;8;2.3
ID;Kuna city;91.2;0.6;0.8;0.7;8.6
OH;Kunkle CDP;93.1;0.4;0.4;0;4.1
AK;Kupreanof city;88.9;0;0;7.4;0
NC;Kure Beach town;97;0.8;0.3;0.6;1.8
TX;Kurten town;87.2;2.3;1;0;17.8
HI;Kurtistown CDP;19.5;0.2;0.3;35.8;10
KY;Kuttawa city;97.8;1.2;0.3;0;0.5
PA;Kutztown borough;95.8;1.4;0;1;2.6
PA;Kutztown University CDP;88.2;7.3;0.4;0.5;4.5
AK;Kwethluk city;2.2;0;94.2;0.1;0
AK;Kwigillingok CDP;3.4;0;95;0;0
AZ;Kykotsmovi Village CDP;5;0.1;92.8;0.3;3.1
SD;Kyle CDP;2.6;0.1;95.6;0.4;3.2
TX;Kyle city;74.5;5.6;0.8;1.1;46.3
PA;Kylertown CDP;99.7;0.3;0;0;0
NY;Kysorville CDP;95.5;4.5;0;0;0
WY;La Barge town;92.4;0.4;4.4;0;4.4
MO;La Belle city;92.9;5.6;0;0;2.1
TX;La Blanca CDP;70.1;0.1;0.8;0;95.4
SD;La Bolt town;97.1;0;1.5;0;0
CA;La Ca_ada Flintridge city;68.9;0.5;0.1;25.8;6.3
TX;La Carla CDP;100;0;0;0;100
TX;La Casita CDP;99.2;0;0;0;100
KY;La Center city;86.5;10.3;0.1;0.5;0.9
WA;La Center city;91.3;1;0.8;1.9;4.6
TX;La Chuparosa CDP;100;0;0;0;100
NM;La Cienega CDP;63;0.2;1.9;0.8;80.4
TX;La Coma CDP;100;0;0;0;97.9
WA;La Conner town;87.1;0.7;5.1;1;6.2
MN;La Crescent city;96.5;0.8;0.1;0.6;1.1
CA;La Crescenta-Montrose CDP;65.2;0.7;0.4;27.3;11.4
OH;La Croft CDP;97.2;0.9;0.2;0;0.7
KS;La Crosse city;98.5;0.2;0.4;0.2;2.8
WI;La Crosse city;89.8;2.3;0.6;4.9;2
FL;La Crosse town;77.8;18.1;0.3;0.6;16.4
IN;La Crosse town;99.5;0.2;0;0;1.8
VA;La Crosse town;61.3;31.8;0;0.3;20.5
NM;La Cueva CDP;93.5;0;2.4;0.6;14.3
KS;La Cygne city;97.3;0.6;0.9;0.2;1.7
MO;La Due village;85.7;0;0;3.6;0
TX;La Escondida CDP;100;0;0;0;100
TX;La Esperanza CDP;77.7;0;2.2;0;96.9
WI;La Farge village;97.1;0.3;1.6;0.1;0.4
NY;La Fargeville CDP;92.9;0.3;0.5;0.3;2.5
AL;La Fayette city;29.3;68.8;0.1;0.4;1.9
IL;La Fayette village;94.6;0;1.3;0;1.8
TX;La Feria city;89.8;0.3;0.3;0.3;85
TX;La Feria North CDP;91.5;0;0;0;70.8
TN;La Follette city;97;0.4;0.3;0.2;1.5
IN;La Fontaine town;98.5;0.1;0.2;0;1.1
WA;La Grande CDP;89.9;0.9;0;2.8;4.6
OR;La Grande city;91.3;0.8;1.4;1.1;4.6
KY;La Grange city;87.3;4.7;0.3;0.6;8.9
MO;La Grange city;86.6;9.7;0.3;0.1;0.9
TX;La Grange city;73.5;9.5;1.2;0.5;31.1
IL;La Grange Park village;90.4;3.9;0.1;1.9;6.8
NC;La Grange town;40.5;55.4;0.2;0.7;3.4
TN;La Grange town;90.2;9.8;0;0;0
WY;La Grange town;94.4;0.9;0.9;0.2;7.1
IL;La Grange village;89.9;4.9;0.1;1.4;6.4
TX;La Grulla city;96.6;0.2;0.1;0.1;98.1
CA;La Habra city;58.3;1.7;0.9;9.4;57.2
CA;La Habra Heights city;72.4;0.9;0.5;15.8;23.5
NM;La Hacienda CDP;77.2;0.1;1.1;0.4;75.9
IL;La Harpe city;98.9;0.3;0.3;0;0.1
KS;La Harpe city;93.6;1.4;1.2;0.9;1.6
TX;La Homa CDP;98.7;0.1;0;0.1;97.1
CA;La Honda CDP;87.4;1.4;0;1.7;7.4
NM;La Huerta CDP;91.6;0.5;0.9;1.2;18.1
NM;La Jara CDP;61.4;0.5;1.4;1;74.9
CO;La Jara town;73.8;0.4;3.8;0.1;62.3
NM;La Joya CDP;90.2;0;0;0;67.1
TX;La Joya city;98.7;0.1;0.3;0.1;97.6
CO;La Junta city;74.7;1.2;1.9;0.7;45.6
CO;La Junta Gardens CDP;86.3;0;3.3;0;35.3
TX;La Loma de Falcon CDP;100;0;0;0;95.8
NM;La Luz CDP;87.1;0.5;1.4;1;34.2
NM;La Madera CDP;60.4;2.6;0.6;0;72.7
TX;La Marque city;52.5;36.7;0.8;0.7;22.5
NM;La Mesa CDP;76.2;0;1.4;0;84.5
CA;La Mesa city;71.8;7.7;0.8;5.8;20.5
NM;La Mesilla CDP;68.3;0.3;1.4;0.4;73.4
TX;La Minita CDP;94.7;0;0;0;98.8
CA;La Mirada city;60.7;2.3;0.8;17.8;39.7
IL;La Moille village;97.5;0.4;0;0;2.5
MO;La Monte city;72.6;0.4;0.1;0.4;35.8
IA;La Motte city;96.2;0;0;0;0
CA;La Palma city;37;5.2;0.4;48.1;16
TX;La Paloma Addition CDP;77.9;0.3;1.5;0;94.5
TX;La Paloma CDP;83.2;0.4;0.2;0.3;98.2
TX;La Paloma Ranchettes CDP;100;0;0;0;100
TX;La Paloma-Lost Creek CDP;83.3;0;1;0.2;73.8
IN;La Paz town;97.9;0.2;0.2;0.2;4.3
AZ;La Paz Valley CDP;92.6;0.4;1;0.3;6
OR;La Pine city;93.5;0.2;1.1;0.2;5.8
SD;La Plant CDP;3.5;0;95.9;0;5.3
NM;La Plata CDP;90.7;0;4.2;0.3;13.6
MO;La Plata city;96.5;0.2;0;0.1;1.3
MD;La Plata town;66.3;26.7;0.5;2.7;3.2
NE;La Platte CDP;91.2;0;4.4;0;6.1
CA;La Porte CDP;92.3;3.8;3.8;0;0
IN;La Porte city;88.6;3;0.3;0.5;11.2
TX;La Porte city;80.1;6.2;0.6;1.2;29.4
IA;La Porte City city;97.8;0.8;0.1;0.2;1
MN;La Prairie city;91.6;0.6;2.9;0;0.9
IL;La Prairie village;100;0;0;0;0
CA;La Presa CDP;44.1;13;0.8;9.4;47.3
TX;La Presa CDP;100;0;0;0;99.4
TX;La Pryor CDP;85.8;1.3;0.6;0;90.5
NM;La Puebla CDP;55.6;0.6;2.4;0.3;80
CA;La Puente city;49.4;1.4;1.1;8.4;85.1
TX;La Puerta CDP;98.4;0;1.1;0;98.7
CA;La Quinta city;78.7;1.9;0.6;3.1;30.3
CA;La Riviera CDP;67.7;10;0.7;7.1;16.3
IL;La Rose village;97.9;0;0;0;2.1
TX;La Rosita CDP;97.6;0;0;0;98.8
OH;La Rue village;94.9;0.3;0.1;0;3.7
MO;La Russell city;95.6;0;2.6;0;0
UT;La Sal CDP;98.2;0;0.5;0;8.9
MN;La Salle city;93.1;1.1;1.1;0;4.6
CO;La Salle town;83.9;0.4;0.8;0.5;35
CA;La Selva Beach CDP;84.4;0.9;0.8;4.1;13.1
TX;La Tina Ranch CDP;61.8;0.2;1.8;0.2;95.1
MO;La Tour CDP;98.4;0;0;0;0
NM;La Union CDP;80.4;0.1;1.3;0;89.9
MD;La Vale CDP;95.3;1.4;0.1;1.7;0.6
WI;La Valle village;97.5;0.3;0;1.6;2.2
TN;La Vergne city;63;23;0.3;3.3;13
UT;La Verkin city;91.4;0.5;1.5;0.3;8.5
CA;La Verne city;74.2;3.4;0.9;7.7;31
TX;La Vernia city;92.5;0.7;0.4;0.6;22
CO;La Veta town;91.1;0;0.9;0;11.4
TX;La Victoria CDP;98.8;0;0;0;97.1
TX;La Villa city;88.1;0.9;0;0.2;96.9
NM;La Villita CDP;53;0.4;3.2;0.2;87
CA;La Vina CDP;41.9;1.1;0;0;95
NE;La Vista city;86.9;3.9;0.4;3.2;6.5
TX;La Ward city;86.4;0;1.4;0;35.2
LA;Labadieville CDP;78.9;18.5;0.7;0.1;2.3
MO;LaBarque Creek CDP;98.1;0.3;0.4;0.4;1.9
FL;LaBelle city;68.3;8.1;0.4;0.6;47
KS;Labette city;98.7;0;1.3;0;0
OR;Labish Village CDP;40.8;0.2;1.2;0;67
WI;Lac du Flambeau CDP;10.2;0.2;87.6;0.1;2.7
WI;Lac La Belle village;98.6;0;0;0.3;0.3
LA;Lacassine CDP;90.8;5.4;0.4;0;4.4
WA;Lacey city;74.2;5.4;1.2;8;9.2
PA;Laceyville borough;94.5;0.5;0;0;7.9
NY;Lackawanna city;83.9;9.9;0.3;0.7;7.1
TX;Lackland AFB CDP;71.4;16;0.5;1.8;7.8
MO;Laclede city;98.3;0.6;0.9;0;0.3
OR;Lacomb CDP;91.6;0;3.3;0;3.8
LA;Lacombe CDP;69.1;23.9;0.9;0.6;4.2
IL;Lacon city;98.4;0.1;0.3;0.2;2
IA;Lacona city;99.7;0;0;0;0.6
NY;Lacona village;96.9;0.7;0.2;0.7;1.5
NH;Laconia city;94.5;0.9;0.3;2.5;1.6
IN;Laconia town;98;0;0;2;0
FL;Lacoochee CDP;67.9;19.4;1.1;0.1;39
TX;LaCoste city;85.6;0.2;0.6;0.1;60.4
WA;LaCrosse town;95.8;0.3;0.6;0.3;0.3
TX;Lacy-Lakeview city;63.8;20.6;0.7;0.9;23.8
IL;Ladd village;95.4;0.8;0.4;0.3;6.1
MO;Laddonia city;98.8;0.4;0.6;0;0.4
CA;Ladera CDP;89;0.2;0.1;6.9;2.3
CA;Ladera Heights CDP;15.1;73.7;0.3;3.6;5.5
CA;Ladera Ranch CDP;77.9;1.5;0.2;12.1;12.8
IN;Ladoga town;98.4;0.1;0;0.3;1
AL;Ladonia CDP;86.5;9.8;0.7;0.3;2.7
TX;Ladonia town;61.3;36.3;0.2;0.5;3.3
IA;Ladora city;96.8;2.5;0;0;1.1
SC;Ladson CDP;61.5;26.3;0.8;2.2;11.3
MO;Ladue city;94.1;1;0.1;3.1;1.4
FL;Lady Lake town;90.8;5.1;0.4;1.1;4.3
WI;Ladysmith city;96.3;0.6;0.8;0.6;1.6
OH;Lafayette CDP;97;1.5;0;0;0
VA;Lafayette CDP;96.7;1.1;0;0;3.1
CA;Lafayette city;84.7;0.7;0.3;9;5.8
CO;Lafayette city;85.6;1.1;0.9;3.8;18.2
GA;LaFayette city;88.6;7.5;0.4;0.9;2.1
IN;Lafayette city;83.6;6.2;0.4;1.4;12.1
KY;LaFayette city;93.3;4.8;0;0;3
LA;Lafayette city;63.8;31.1;0.3;1.8;3.8
MN;Lafayette city;97.8;0;0.2;0.2;2.4
OR;Lafayette city;84.6;0.3;0.9;0.7;22
TN;Lafayette city;96.3;0.5;0.3;0.5;4.5
OH;Lafayette village;97.8;0;0.2;1.3;1.1
AR;Lafe town;99.3;0;0;0;1.3
OH;Lafferty CDP;97;1;0.3;0.3;1
LA;Lafitte CDP;93.5;1.2;2.3;0.9;2.4
PA;Laflin borough;94.8;0;0;5;0.5
LA;Lafourche Crossing CDP;84.7;11.8;0.7;0.6;1.8
TX;Lago CDP;95.1;0;1.5;0;100
TX;Lago Vista CDP;95.7;0;0;0;98.3
TX;Lago Vista city;92.3;1.2;0.6;0.6;11.8
GA;LaGrange city;44.5;48;0.2;2.5;4.7
AR;LaGrange town;57.3;40.4;0;0;0
IN;Lagrange town;93.7;0.6;0.4;0.4;9.5
OH;LaGrange village;96.6;0.4;0.7;0.2;1.9
IN;Lagro town;96.9;0;1.7;0.5;0
FL;Laguna Beach CDP;91.8;1.1;1.2;0.8;5.8
CA;Laguna Beach city;90.9;0.8;0.3;3.6;7.3
NM;Laguna CDP;1.3;0;97.1;0;5.2
TX;Laguna Heights CDP;84.6;0.7;0.5;0.1;86.2
CA;Laguna Hills city;72.7;1.4;0.3;12.6;20.6
CA;Laguna Niguel city;80.4;1.2;0.3;8.7;13.9
TX;Laguna Park CDP;96.2;0.5;1;0;3.8
TX;Laguna Seca CDP;91;0;0;0;98.9
TX;Laguna Vista town;90.6;0.4;0.4;0.6;44.2
CA;Laguna Woods city;87.3;0.7;0.1;10;4
CA;Lagunitas-Forest Knolls CDP;91.1;1.4;0.6;0.6;7.3
HI;Lahaina CDP;27.2;0.5;0.3;39.5;11.5
OK;Lahoma town;93.8;0.2;2.8;0.2;3.3
HI;Laie CDP;29.4;0.8;0.2;13.7;5.2
MI;Laingsburg city;96.6;0.4;0.4;0.4;1.4
CO;Laird CDP;100;0;0;0;0
FL;Lake Alfred city;71.3;17.5;0.4;1.7;16
CA;Lake Almanor Country Club CDP;96.9;0.5;0.5;0.2;1.9
CA;Lake Almanor Peninsula CDP;94.7;0;2.5;0;6.2
CA;Lake Almanor West CDP;95.9;0.4;0.4;0;4.1
OK;Lake Aluma town;85.2;0;3.4;3.4;9.1
SD;Lake Andes city;40.8;0.1;52.7;0.1;2.8
MI;Lake Angelus city;96.2;0.3;0;2.8;0.3
MI;Lake Ann village;95.1;0.4;1.5;0;0.4
MO;Lake Annette city;92;0;1;0;2
MD;Lake Arbor CDP;2.6;92.7;0.3;2;2.5
CA;Lake Arrowhead CDP;86.4;0.8;0.7;1.2;21.8
ME;Lake Arrowhead CDP;97.5;0.5;0.3;0.4;1.3
WI;Lake Arrowhead CDP;99;0.1;0.2;0.1;1
PA;Lake Arthur Estates CDP;98.3;0;0.5;0;1
LA;Lake Arthur town;85.6;11.9;0.2;0.2;1.8
NM;Lake Arthur town;54.4;0.5;0.2;0.2;69.7
VA;Lake Barcroft CDP;72.7;5.2;0.3;11.5;18.8
IL;Lake Barrington village;95.7;0.7;0.1;2.5;2.3
FL;Lake Belvedere Estates CDP;44.9;38.6;0.4;4.7;29.3
MN;Lake Benton city;98.7;0.1;0;0;0.3
IL;Lake Bluff village;92;0.6;0.1;5.5;1.9
WA;Lake Bosworth CDP;94.8;0.4;1.3;0.7;3.6
TX;Lake Bridgeport city;96.5;0.9;0.3;0.3;5
MN;Lake Bronson city;99.1;0;0;0;0
TX;Lake Brownwood CDP;94.6;0.7;0.1;0;12.7
TX;Lake Bryan CDP;74;6.4;0.2;0.1;47.5
OH;Lake Buckhorn CDP;99.2;0.2;0.2;0;0
FL;Lake Buena Vista city;100;0;0;0;0
FL;Lake Butler CDP;79.9;6.6;0.2;9.4;11.2
FL;Lake Butler city;70;26.7;0.4;0.4;4.3
CA;Lake California CDP;90.1;0.4;2.7;1;8.2
IL;Lake Camelot CDP;96.9;1.4;0.3;0.5;2.1
WI;Lake Camelot CDP;98.4;0.1;0.1;0.7;0.7
NY;Lake Carmel CDP;89.1;2.6;0.4;1.7;15.1
VA;Lake Caroline CDP;78.7;15.6;0.9;0.7;4.6
WA;Lake Cassidy CDP;91;0.2;1.2;2.3;4.8
IL;Lake Catherine CDP;95.1;1.5;0.2;0.5;4.4
WA;Lake Cavanaugh CDP;98.8;0;0.6;0;0.6
LA;Lake Charles city;47;47.7;0.4;1.7;2.9
TX;Lake Cherokee CDP;84.8;7.9;0.7;0.3;7.9
PA;Lake City borough;97;0.9;0.2;0.2;1.3
CA;Lake City CDP;95.1;0;0;0;0
AR;Lake City city;96.9;0.5;0.2;0;1.7
FL;Lake City city;56.6;37.3;0.4;1.6;5.4
GA;Lake City city;31.2;42;0.2;14.9;15.3
IA;Lake City city;98.4;0.2;0.1;0.2;1.2
MI;Lake City city;95.2;1.2;1.7;0.7;2.9
MN;Lake City city;95.3;0.5;0.3;0.8;3.2
SC;Lake City city;19.4;77.5;0.3;0.3;3
TN;Lake City city;97.6;0.1;0.2;0.3;1.1
CO;Lake City town;94.6;0.2;1;0.2;2.7
SD;Lake City town;82.4;0;7.8;9.8;0
TX;Lake City town;92.5;0.2;0.6;0;36
FL;Lake Clarke Shores town;90.1;2.7;0.1;1.5;24.7
TX;Lake Colorado City CDP;96.4;0.2;0.5;0;4.4
NJ;Lake Como borough;82.9;6.1;0.9;1.2;18.3
MN;Lake Crystal city;97.3;0.8;0.2;0.7;1.3
IN;Lake Dalecarlia CDP;97.3;0.2;0.1;0.1;3.4
TX;Lake Dallas city;83.1;4.9;1.1;1.7;20.5
OH;Lake Darby CDP;92.4;2.6;0.3;1.5;3.1
CA;Lake Davis CDP;100;0;0;0;4.4
WI;Lake Delton village;87.3;0.7;2.4;2.9;15.3
CA;Lake Don Pedro CDP;90.9;0.6;1.7;1.1;10.1
TX;Lake Dunlap CDP;87.3;2.1;1.1;0.1;34.2
MN;Lake Elmo city;92.3;0.8;0.3;3.3;3.5
CA;Lake Elsinore city;60;5.3;0.9;5.8;48.4
NY;Lake Erie Beach CDP;96.4;0.5;1.2;0.1;1.4
MI;Lake Fenton CDP;96.6;0.6;0.3;1;2.2
CA;Lake Forest city;70.3;1.7;0.5;13.1;24.6
IL;Lake Forest city;92.1;1.1;0.1;4.7;2.8
WA;Lake Forest Park city;83;1.8;0.6;8.8;3.6
WI;Lake Geneva city;87.6;0.6;0.2;1.5;17.3
MN;Lake George CDP;95.2;0;1.3;1.3;3
NY;Lake George village;96.6;0.4;0.1;1.1;2
NY;Lake Grove village;87.9;2.2;0.2;6.7;7.8
WI;Lake Hallie village;94.3;0.6;0.6;2.4;1.7
AR;Lake Hamilton CDP;89.4;5.9;0.3;1.5;3
FL;Lake Hamilton town;63.4;24.9;0.5;0.8;13.4
FL;Lake Harbor CDP;73.3;17.8;0;0;20
FL;Lake Hart CDP;94.5;0.7;0.2;3.1;8.1
AZ;Lake Havasu City city;90.1;0.7;1;1;12.1
FL;Lake Helen city;87.1;9.1;0.5;0.3;4.3
MN;Lake Henry city;100;0;0;0;0
PA;Lake Heritage CDP;96;0.9;0.5;1.2;2.6
IL;Lake Holiday CDP;97.2;0.8;0.2;0.1;3.9
IN;Lake Holiday CDP;99.5;0.2;0;0;0.4
VA;Lake Holiday CDP;94.8;1.6;0.4;0.5;3.3
WA;Lake Holm CDP;89.8;0.9;0.8;3.2;3.6
CA;Lake Hughes CDP;83.8;2.9;1.1;0.8;16
IL;Lake in the Hills village;86.7;2;0.3;5.2;11.6
CA;Lake Isabella CDP;88.5;0.2;2.8;0.5;9.8
MI;Lake Isabella village;95.1;0.4;1.1;0.5;3.6
WI;Lake Ivanhoe CDP;60.5;15.2;1.4;0.2;26.7
TX;Lake Jackson city;84.4;5.1;0.5;3.1;20.5
NC;Lake Junaluska CDP;97.8;0.3;0.5;0.3;1.7
IL;Lake Ka-Ho village;98.3;0;0;0;0.4
FL;Lake Kathryn CDP;96.2;0;1;0.4;5.2
NY;Lake Katrine CDP;90.6;3;0.2;1.9;4.3
WA;Lake Ketchum CDP;92.9;0.4;1.1;1.5;1.8
TX;Lake Kiowa CDP;97.2;0.3;1.3;0.4;2.4
WI;Lake Koshkonong CDP;97.6;0.6;0.2;0.8;1.7
MO;Lake Lafayette city;95.1;2.4;0.6;0;0.6
OH;Lake Lakengren CDP;97.1;0.8;0.1;0.4;0.9
VA;Lake Land'Or CDP;72.3;20.7;0.5;0.9;6
PA;Lake Latonka CDP;98.9;0.2;0.1;0.2;0.5
MI;Lake Leelanau CDP;83;0.4;10.7;3.2;10.7
MN;Lake Lillian city;98.3;0.4;0;0.4;2.1
MI;Lake Linden village;97.4;0;0.7;0.2;0.8
