Geographic;City;share_white;share_black;share_native_american;share_asian;share_hispanic
CA;Alhambra city;28.3;1.5;0.6;52.9;34.4
CA;Alhambra Valley CDP;90.7;0.3;0;4.5;8.8
IL;Alhambra village;97.8;0.3;0;0.3;0.4
AZ;Ali Chuk CDP;0.6;0;96.3;0;12.4
AZ;Ali Chukson CDP;0;0;99.2;0;0.8
AZ;Ali Molina CDP;2.8;0;97.2;0;4.2
TX;Alice Acres CDP;75.5;0.4;2;0;92.2
ND;Alice city;100;0;0;0;0
TX;Alice city;86.7;0.8;0.7;0.6;85.1
AL;Aliceville city;22.6;74.9;0.1;0;1.2
AR;Alicia town;100;0;0;0;1.6
OK;Aline town;94.2;0;3.4;0;0
PA;Aliquippa city;57.6;38.6;0.1;0.4;1.3
CA;Aliso Viejo city;72;2;0.3;14.6;17.1
AK;Allakaket city;1;0;95.2;0;0
NJ;Allamuchy CDP;97.4;0;0;0;12.8
TN;Allardt city;99.7;0;0;0;0.2
MI;Allegan city;91.4;4.3;0.6;0.8;3.8
NY;Allegany village;96.1;0.2;0.1;2.2;2
CA;Alleghany CDP;100;0;0;0;1.7
PA;Alleghenyville CDP;98.2;0.4;0;1;1.6
IA;Alleman city;98.4;0;0;0.2;0
MD;Allen CDP;93.3;4.8;1;0;2.9
SD;Allen CDP;3.3;0;96.4;0;1
KS;Allen city;96;0;0;0;4
KY;Allen city;99.5;0;0;0;0
TX;Allen city;72;8.4;0.5;12.9;11.2
MI;Allen Park city;92.9;2.1;0.5;0.8;8.1
OK;Allen town;75.5;0.1;17.8;0.4;1
MI;Allen village;97.9;0;0;1;0
NE;Allen village;98.1;0.3;0;0.3;3.4
NJ;Allendale borough;87.4;0.5;0;9.6;4.7
CA;Allendale CDP;82.3;3.3;1.5;2.8;15.6
MI;Allendale CDP;90.7;3.3;0.4;1.5;4.8
SC;Allendale town;12.8;83.4;0.2;0.7;2.8
IL;Allendale village;99.2;0.4;0;0.2;0.2
MO;Allendale village;100;0;0;0;0
NJ;Allenhurst borough;94.8;1;0;1;4.4
GA;Allenhurst city;47.9;44;0;2.3;5.8
PA;Allenport borough;99.1;0.6;0;0;0.2
PA;Allenport CDP;98.3;0.9;0;0;1.4
CO;Allenspark CDP;98.1;0.4;0.4;0;2.7
PA;Allensville CDP;98.6;0.8;0;0;0
KY;Allensville city;78.3;18.5;0;0;2.5
CA;Allensworth CDP;33.5;4.7;0;1.7;92.6
WI;Allenton CDP;97.2;0.2;0.5;0.4;2.7
NJ;Allentown borough;91;4.4;0.1;1.5;3.6
FL;Allentown CDP;93.4;1.8;1.8;0.3;1.9
GA;Allentown city;66.3;29;0;0;3
PA;Allentown city;58.5;12.5;0.8;2.2;42.8
IL;Allenville village;100;0;0;0;2
MO;Allenville village;99.1;0;0;0;0
NJ;Allenwood CDP;97.7;0.1;0;0.9;2.8
PA;Allenwood CDP;95;4.4;0;0.3;1.2
IA;Allerton city;99.2;0;0.2;0;0.2
IL;Allerton village;97.6;1;0;0;0.3
AL;Allgood town;79.6;0.6;0.3;0.6;49.4
NE;Alliance city;87.5;0.5;4.6;0.3;12.3
OH;Alliance city;84.6;10.5;0.2;0.8;1.9
NC;Alliance town;80.7;15.9;0.3;0.4;3.1
MS;Alligator town;15.9;82.2;0;0.5;1
PA;Allison CDP;89;8.3;0.2;0.5;0.2
IA;Allison city;99.4;0;0;0.1;0.2
PA;Allison Park CDP;94.4;1.5;0.1;3.1;0.9
VA;Allisonia CDP;91.5;6.8;0.9;0.9;0
WI;Allouez village;89.7;5;1;1.8;2.7
NJ;Alloway CDP;94.2;2.7;0.4;0.7;1
PA;Allport CDP;98.9;0.4;0;0;1.1
AR;Allport town;11.3;80.9;0;0;0
WA;Allyn CDP;93.9;0.6;0.4;1.4;2.3
WI;Alma Center village;92.8;0;0.2;0.2;6.4
AR;Alma city;91.4;1.7;1.9;0.4;4.2
GA;Alma city;52.7;40.5;0.1;0.7;7.2
KS;Alma city;96.4;0.1;1;0;3.7
MI;Alma city;92.8;0.9;0.6;0.8;8.1
MO;Alma city;97.3;0.5;0;0.2;0.5
NE;Alma city;99.1;0;0.1;0;0.6
WI;Alma city;98.5;0.1;0.4;0.1;0.6
CO;Alma town;93.3;0.4;1.1;0;7
TX;Alma town;83.1;0;0;0;22.7
IL;Alma village;99.4;0.3;0.3;0;0
CA;Almanor CDP;(X);(X);(X);(X);(X)
PA;Almedia CDP;97.6;0.8;0;0.6;0.4
KS;Almena city;97.5;0.5;0.2;0;2.7
WI;Almena village;96.2;0.1;0.9;0.3;0.7
WA;Almira town;95.1;0;0.7;0.7;1.8
NY;Almond village;97.4;0;0;0.6;1.5
WI;Almond village;94;0.2;0.4;0.4;13.2
ND;Almont city;100;0;0;0;0
MI;Almont village;93.1;0.3;0.3;0.2;7.4
