state;City;share_white;share_black;share_native_american;share_asian;share_hispanic;Median_Income;percent_completed_hs;poverty_rate
TN;Alamo town;72.3;15.8;0;0.1;11.9;35441;76.1;21.9
NM;Alamogordo ;76.8;5.4;1.4;1.7;30.5;42517;88.8;20.5
CO;Alamosa ;69.8;1.7;3.2;1.2;53.2;27850;83.8;35.1
CO;Alamosa East;72.7;0.2;2.5;0.9;54.1;49200;85;28.4
MI;Alanson village;92.4;0;5;0.3;1.4;34727;91.2;14.8
GA;Alapaha town;36.2;61.5;0.1;0.1;3.4;37500;84.2;27.6
AK;Alatna ;2.7;0;97.3;0;0;NA;100;0
PA;Alba borough;97.5;1.9;0;0;2.5;31875;85.9;22
MI;Alba ;96.6;0.7;0.7;0;6.1;36316;79.1;8.9
MO;Alba ;94.4;0.7;1.8;0;2.3;39500;89.9;10.7
TX;Alba town;91.5;0.4;2;0;7.3;31477;83.2;43.4
OK;Albany ;83.9;0;8.4;0;6.3;48750;94.9;16.7
WY;Albany ;96.4;0;0;1.8;0;NA;85.4;0
CA;Albany ;54.6;3.5;0.5;31.2;10.2;79596;96.4;11.4
GA;Albany ;25.2;71.6;0.2;0.8;2.1;29676;79.9;33.8
KY;Albany ;93;0.2;0.1;0.1;6.2;19238;64.5;37.1
MN;Albany ;97.6;0.2;0.2;0.2;0.9;48843;81.6;12.6
MO;Albany ;98.2;0.5;0.3;0.5;0.6;40000;86.9;15.4
NY;Albany ;57;30.8;0.3;5;8.6;40949;89.6;26.8
OR;Albany ;87.8;0.7;1.2;1.4;11.4;47150;89.9;19.8
TX;Albany ;93.3;0.4;0.7;0.1;10.5;50735;88;18.3
IN;Albany town;97.2;0.6;0;0.2;1.1;45813;91.9;13.4
IL;Albany village;98.3;0.1;0.2;0.3;2.2;43750;89.4;9.8
LA;Albany village;95;3.9;0.2;0.1;1.9;40990;91.3;11.5
OH;Albany village;98.3;0.1;0.1;0.7;1.6;38533;90.2;15.6
VT;Albany village;93.8;3.6;1;0.5;0;51563;89.6;5.4
WI;Albany village;96.5;0.5;0;0.7;2.4;43304;89;9.1
SD;Albee town;100;0;0;0;0;28750;80;10
NC;Albemarle ;70.1;22.4;0.3;2.9;4.5;32606;80.2;26.2
IL;Albers village;95.7;0.2;0.2;0.1;4.5;73906;91.3;3.7
